//blocks
Aether Portal					以太传送门
Phoenix Leggings				凤凰护腿
Phoenix Boots					凤凰靴子
Obsidian Gloves					黑曜石手套
Obsidian Chestplate				黑曜石胸甲
Obsidian Helmet					黑曜石头盔
Obsidian Leggings				黑曜石护腿
Obsidian Boots					黑曜石靴子
Neptune Gloves					海神手套
Neptune Helmet					海神头盔
Neptune Chestplate				海神胸甲
Neptune Leggings				海神护腿
Neptune Boots					海神靴子
Regeneration Stone				重生之石
Invisibility Cloak				隐形斗篷
Agility Cape					敏捷披风
White Cape						白色披风
Red Cape						红色披风
Yellow Cape						黄色披风
Blue Cape						蓝色披风
Valkyrie Pickaxe				女武神镐
Valkyrie Axe					女武神斧
Valkyrie Shovel					女武神铲
Healing Stone					治愈之石
Ice Ring						冰冻指环
Ice Pendant						冰冻吊坠
Blue Berry						蓝莓
Gingerbread Man					姜饼人
Candy Cane						拐杖糖
Candy Cane Sword				拐杖糖剑
White Apple						白苹果
Swetty Ball						蓝色史维特球
Sentry Boots					哨卫靴子
Valkyrie Music Disk				女武神唱片
Valkyrie Helmet					女武神头盔
Valkyrie Chestplate				女武神胸甲
Valkyrie Leggings				女武神护腿
Valkyrie Boots					女武神靴子
Valkyrie Gloves					女武神手套
Dexterity Cape					灵巧披风
Swetty Pendant					蓝色史维特吊坠
Deadmau5 Ears					Deadmau5之耳
Enchanted Berry					魔莓
Rainbow Strawberry				彩虹草莓
Continuum Orb					命运之珠
Orange							橙子
Labyrinth Music Disk			迷宫唱片
Moa Music Disk					恐鸟唱片
Aerwhale Music Disk				以太鲸音乐唱片
Crystal EXP Bottle				水晶经验瓶
Piggie Bank						小猪存钱罐
Wyndberry						蓝莓

